link_id,fir_id,person_id,role
CP00001,F2201,P02701,complainant
CP00002,F2201,P02835,accused
CP00003,F2202,P02896,complainant
CP00004,F2202,P01347,victim
CP00005,F2202,P01859,accused
CP00006,F2203,P01110,complainant
CP00007,F2203,P00144,victim
CP00008,F2204,P03000,complainant
CP00009,F2204,P01658,victim
CP00010,F2205,P02100,complainant
CP00011,F2205,P00095,accused
CP00012,F2205,P00764,accused
CP00013,F2206,P00349,complainant
CP00014,F2206,P02967,victim
CP00015,F2206,P01845,accused
CP00016,F2207,P00984,complainant
CP00017,F2207,P00244,accused
CP00018,F2208,P01945,complainant
CP00019,F2208,P01597,victim
CP00020,F2208,P02353,accused
CP00021,F2208,P01667,accused
CP00022,F2209,P01718,complainant
CP00023,F2209,P02186,victim
CP00024,F2209,P00212,accused
CP00025,F2210,P00230,complainant
CP00026,F2211,P01905,complainant
CP00027,F2211,P01283,victim
CP00028,F2212,P00384,complainant
CP00029,F2212,P02215,victim
CP00030,F2212,P02320,accused
CP00031,F2213,P01145,complainant
CP00032,F2213,P00459,victim
CP00033,F2213,P00455,accused
CP00034,F2213,P02333,accused
CP00035,F2214,P00540,complainant
CP00036,F2214,P00591,victim
CP00037,F2215,P01250,complainant
CP00038,F2215,P01828,victim
CP00039,F2215,P01944,accused
CP00040,F2216,P01908,complainant
CP00041,F2216,P01230,victim
CP00042,F2216,P00099,accused
CP00043,F2217,P02734,complainant
CP00044,F2217,P02200,victim
CP00045,F2217,P00373,accused
CP00046,F2218,P02105,complainant
CP00047,F2218,P00520,victim
CP00048,F2219,P02284,complainant
CP00049,F2219,P00449,accused
CP00050,F2219,P02343,accused
CP00051,F2220,P01336,complainant
CP00052,F2221,P00040,complainant
CP00053,F2221,P00682,victim
CP00054,F2222,P02247,complainant
CP00055,F2222,P01019,victim
CP00056,F2222,P02926,accused
CP00057,F2223,P00488,complainant
CP00058,F2223,P00011,victim
CP00059,F2224,P02384,complainant
CP00060,F2224,P02365,victim
CP00061,F2224,P02935,accused
CP00062,F2225,P00095,complainant
CP00063,F2225,P02415,accused
CP00064,F2226,P00379,complainant
CP00065,F2226,P02275,victim
CP00066,F2226,P02844,accused
CP00067,F2227,P01692,complainant
CP00068,F2227,P01829,victim
CP00069,F2228,P00566,complainant
CP00070,F2228,P02638,victim
CP00071,F2228,P00571,accused
CP00072,F2229,P00005,complainant
CP00073,F2229,P01602,victim
CP00074,F2230,P01277,complainant
CP00075,F2230,P00911,victim
CP00076,F2231,P01715,complainant
CP00077,F2231,P02587,accused
CP00078,F2232,P01673,complainant
CP00079,F2232,P00350,victim
CP00080,F2233,P01084,complainant
CP00081,F2233,P00048,accused
CP00082,F2234,P00897,complainant
CP00083,F2235,P01267,complainant
CP00084,F2235,P00610,victim
CP00085,F2236,P02737,complainant
CP00086,F2237,P02546,complainant
CP00087,F2237,P01675,accused
CP00088,F2237,P02236,accused
CP00089,F2238,P01691,complainant
CP00090,F2239,P01550,complainant
CP00091,F2239,P00453,victim
CP00092,F2240,P01160,complainant
CP00093,F2240,P00361,victim
CP00094,F2240,P00415,accused
CP00095,F2241,P02774,complainant
CP00096,F2241,P01178,victim
CP00097,F2241,P02060,accused
CP00098,F2242,P00075,complainant
CP00099,F2242,P00403,victim
CP00100,F2242,P00180,accused
CP00101,F2243,P02163,complainant
CP00102,F2243,P00982,victim
CP00103,F2243,P00412,accused
CP00104,F2244,P02426,complainant
CP00105,F2244,P00203,victim
CP00106,F2245,P01912,complainant
CP00107,F2245,P02273,victim
CP00108,F2245,P00430,accused
CP00109,F2246,P02606,complainant
CP00110,F2246,P02146,victim
CP00111,F2247,P00682,complainant
CP00112,F2247,P02769,victim
CP00113,F2247,P01818,accused
CP00114,F2247,P02141,accused
CP00115,F2248,P02098,complainant
CP00116,F2248,P02522,victim
CP00117,F2248,P00634,accused
CP00118,F2249,P00029,complainant
CP00119,F2249,P01175,victim
CP00120,F2249,P02760,accused
CP00121,F2250,P00874,complainant
CP00122,F2250,P00665,accused
CP00123,F2250,P00498,accused
CP00124,F2251,P01813,complainant
CP00125,F2251,P01461,victim
CP00126,F2252,P01222,complainant
CP00127,F2253,P01200,complainant
CP00128,F2253,P00903,victim
CP00129,F2254,P02948,complainant
CP00130,F2254,P02926,victim
CP00131,F2254,P01590,accused
CP00132,F2255,P00486,complainant
CP00133,F2256,P00456,complainant
CP00134,F2256,P00313,victim
CP00135,F2256,P02019,accused
CP00136,F2256,P01350,accused
CP00137,F2257,P00187,complainant
CP00138,F2257,P02452,victim
CP00139,F2257,P00931,accused
CP00140,F2258,P00265,complainant
CP00141,F2258,P00112,victim
CP00142,F2258,P00251,accused
CP00143,F2259,P01303,complainant
CP00144,F2259,P00935,victim
CP00145,F2259,P00761,accused
CP00146,F2260,P01616,complainant
CP00147,F2260,P01650,victim
CP00148,F2260,P01847,accused
CP00149,F2260,P00762,accused
CP00150,F2261,P00277,complainant
CP00151,F2261,P01386,accused
CP00152,F2262,P01665,complainant
CP00153,F2262,P01079,accused
CP00154,F2263,P00105,complainant
CP00155,F2263,P02474,victim
CP00156,F2263,P01943,accused
CP00157,F2264,P00237,complainant
CP00158,F2264,P02049,victim
CP00159,F2264,P01898,accused
CP00160,F2265,P01954,complainant
CP00161,F2265,P01649,victim
CP00162,F2265,P00534,accused
CP00163,F2266,P02668,complainant
CP00164,F2266,P00495,accused
CP00165,F2267,P02267,complainant
CP00166,F2267,P01536,victim
CP00167,F2268,P02030,complainant
CP00168,F2269,P01403,complainant
CP00169,F2269,P00135,victim
CP00170,F2270,P01817,complainant
CP00171,F2270,P00990,victim
CP00172,F2270,P00022,accused
CP00173,F2270,P02212,accused
CP00174,F2271,P00922,complainant
CP00175,F2271,P02871,victim
CP00176,F2272,P01759,complainant
CP00177,F2272,P01764,victim
CP00178,F2272,P01854,accused
CP00179,F2273,P02567,complainant
CP00180,F2273,P00096,victim
CP00181,F2273,P00003,accused
CP00182,F2274,P02725,complainant
CP00183,F2274,P00424,victim
CP00184,F2274,P00704,accused
CP00185,F2275,P00711,complainant
CP00186,F2276,P00465,complainant
CP00187,F2276,P02988,victim
CP00188,F2277,P02556,complainant
CP00189,F2277,P01006,victim
CP00190,F2278,P00502,complainant
CP00191,F2278,P01104,victim
CP00192,F2278,P00371,accused
CP00193,F2279,P01645,complainant
CP00194,F2279,P01971,victim
CP00195,F2279,P02409,accused
CP00196,F2280,P00401,complainant
CP00197,F2280,P00741,victim
CP00198,F2281,P01633,complainant
CP00199,F2281,P00422,victim
CP00200,F2281,P00582,accused
CP00201,F2281,P02873,accused
CP00202,F2282,P00783,complainant
CP00203,F2282,P00434,victim
CP00204,F2283,P00203,complainant
CP00205,F2283,P01809,victim
CP00206,F2283,P02422,accused
CP00207,F2284,P01042,complainant
CP00208,F2284,P02767,victim
CP00209,F2285,P02354,complainant
CP00210,F2285,P00856,victim
CP00211,F2285,P00697,accused
CP00212,F2285,P02413,accused
CP00213,F2286,P01127,complainant
CP00214,F2286,P02129,victim
CP00215,F2287,P01958,complainant
CP00216,F2287,P00705,victim
CP00217,F2288,P02276,complainant
CP00218,F2288,P00752,victim
CP00219,F2288,P00036,accused
CP00220,F2288,P00436,accused
CP00221,F2289,P02647,complainant
CP00222,F2289,P00695,victim
CP00223,F2289,P01007,accused
CP00224,F2290,P01633,complainant
CP00225,F2290,P01404,victim
CP00226,F2290,P00216,accused
CP00227,F2291,P00346,complainant
CP00228,F2291,P01007,victim
CP00229,F2292,P00589,complainant
CP00230,F2292,P02700,victim
CP00231,F2293,P00043,complainant
CP00232,F2293,P01334,victim
CP00233,F2294,P02634,complainant
CP00234,F2294,P01160,accused
CP00235,F2295,P01884,complainant
CP00236,F2295,P01925,victim
CP00237,F2295,P01591,accused
CP00238,F2296,P00285,complainant
CP00239,F2296,P01394,victim
CP00240,F2297,P02296,complainant
CP00241,F2297,P01261,victim
CP00242,F2298,P00045,complainant
CP00243,F2298,P01202,victim
CP00244,F2298,P01515,accused
CP00245,F2299,P00259,complainant
CP00246,F2299,P00014,victim
CP00247,F2299,P00931,accused
CP00248,F2300,P00134,complainant
CP00249,F2300,P00903,victim
CP00250,F2300,P00319,accused
CP00251,F2301,P01130,complainant
CP00252,F2301,P00210,victim
CP00253,F2302,P00276,complainant
CP00254,F2302,P01217,victim
CP00255,F2302,P00357,accused
CP00256,F2302,P02128,accused
CP00257,F2303,P02118,complainant
CP00258,F2303,P00168,victim
CP00259,F2303,P02662,accused
CP00260,F2304,P01094,complainant
CP00261,F2304,P01007,accused
CP00262,F2305,P01948,complainant
CP00263,F2305,P00333,accused
CP00264,F2306,P00192,complainant
CP00265,F2306,P00841,victim
