fir_id,fir_number,crime_type,ipc_sections,station_id,district,occurred_at,reported_at,hour_of_day,status,modus_operandi,latitude,longitude
F2201,2201,Vehicle theft,IPC 379,ST00023,KR Puram,2026-01-06T04:26:00,2026-01-06T07:26:00,4,Open,duplicate-key theft,12.97065,77.66795
F2202,2202,House break-in,"IPC 457, 380",ST00013,BTM,2026-05-18T04:39:00,2026-05-19T10:39:00,4,Under investigation,lock tampering,12.9173,77.58958
F2203,2203,Mobile theft,IPC 379,ST00014,Rajajinagar,2026-06-14T19:51:00,2026-06-16T07:51:00,19,Charge-sheeted,crowd pickpocket,12.9972,77.54147
F2204,2204,House break-in,"IPC 457, 380",ST00035,Mysuru,2026-05-10T04:13:00,2026-05-11T11:13:00,4,Open,daytime recce break,12.30677,76.67705
F2205,2205,Chain snatching,"IPC 379, 356",ST00018,Whitefield,2026-03-01T22:00:00,2026-03-01T23:00:00,22,Under investigation,2-wheeler snatch,12.9615,77.77355
F2206,2206,Mobile theft,IPC 379,ST00024,KR Puram,2026-02-12T15:59:00,2026-02-12T20:59:00,15,Under investigation,crowd pickpocket,13.0149,77.70217
F2207,2207,Chain snatching,"IPC 379, 356",ST00018,Whitefield,2026-01-06T21:45:00,2026-01-07T15:45:00,21,Open,2-wheeler snatch,12.94585,77.77399
F2208,2208,Online fraud,"IT Act 66C, 66D; IPC 420",ST00018,Whitefield,2026-06-12T13:09:00,2026-06-14T00:09:00,13,Charge-sheeted,OTP scam,12.95441,77.78128
F2209,2209,Chain snatching,"IPC 379, 356",ST00032,Electronic City,2026-02-06T18:18:00,2026-02-07T11:18:00,18,Under investigation,evening market snatch,12.86563,77.67418
F2210,2210,House break-in,"IPC 457, 380",ST00008,Jayanagar,2026-04-08T03:03:00,2026-04-08T04:03:00,3,Open,lock tampering,12.9474,77.59684
F2211,2211,Mobile theft,IPC 379,ST00029,Yelahanka,2026-02-04T16:36:00,2026-02-05T05:36:00,16,Open,shop-counter lift,13.10213,77.55658
F2212,2212,Vehicle theft,IPC 379,ST00040,Mangaluru,2026-01-07T04:13:00,2026-01-08T10:13:00,4,Open,lock-break theft,12.88352,74.8659
F2213,2213,Assault,"IPC 323, 324",ST00048,Hubballi,2026-05-07T17:11:00,2026-05-07T19:11:00,17,Under investigation,bar brawl,15.33782,75.13062
F2214,2214,Assault,"IPC 323, 324",ST00032,Electronic City,2026-03-20T16:26:00,2026-03-21T02:26:00,16,Under investigation,bar brawl,12.85858,77.68563
F2215,2215,Chain snatching,"IPC 379, 356",ST00010,BTM,2026-05-31T18:48:00,2026-06-01T04:48:00,18,Charge-sheeted,evening market snatch,12.92925,77.62394
F2216,2216,Mobile theft,IPC 379,ST00002,BLR South,2026-06-22T16:26:00,2026-06-23T13:26:00,16,Open,crowd pickpocket,12.92001,77.60511
F2217,2217,Online fraud,"IT Act 66C, 66D; IPC 420",ST00020,Whitefield,2026-06-27T17:37:00,2026-06-28T16:37:00,17,Open,OTP scam,12.94852,77.72693
F2218,2218,Assault,"IPC 323, 324",ST00050,Belagavi,2026-06-05T22:56:00,2026-06-06T15:56:00,22,Under investigation,bar brawl,15.8743,74.52953
F2219,2219,Chain snatching,"IPC 379, 356",ST00005,BLR South,2026-05-15T21:19:00,2026-05-16T14:19:00,21,Open,evening market snatch,12.88784,77.60178
